player,archetype,PC1,PC2,archetype_name
Tito,1,-3.8368302822745552,-2.877201985159585,Center Back
Unai Bustinza,1,-2.1821843049200327,-0.7095776875177623,Center Back
Antonio Luna,3,-1.881519691415372,0.6275455107012635,Ball-Playing Defender
Cheick Doukouré,1,-3.2507586160135817,-1.385880436676927,Center Back
Chema,1,-3.0667780055848493,-0.4696982136986588,Center Back
Coke,5,-0.9065545390201979,-0.5683999373247677,Wide Midfielder
Emmanuel Boateng,4,2.769674064099297,-4.865382872774487,Poacher
Enes Ünal,4,-1.0560810469886093,-5.4002659746601545,Poacher
Enis Bardhi,5,2.17449557525188,-0.35405034566452986,Wide Midfielder
Erick Cabaco,1,-3.292044131772297,-2.360973897690888,Center Back
Ivi,5,2.4409784711407916,-0.5634050064079512,Wide Midfielder
Jason,5,1.1730097810193083,-1.1082544026973589,Wide Midfielder
Jefferson Lerma,3,-2.1156413001624736,3.600012907162219,Ball-Playing Defender
José Campaña,0,1.4917856734589408,5.886509530813922,Central Midfielder
José Luis Morales,2,9.970110931552043,2.034831948060873,Complete Forward
Pedro López Muñoz,1,-3.200788380792046,-0.2570116024498197,Center Back
Rober,1,-4.079767636269072,0.12418319890054318,Center Back
Roger Martí,4,1.3288787268542919,-3.979345009607835,Poacher
Saša Lukić,1,-3.0074785798476307,-0.7197889477125071,Center Back
Sergio Postigo,1,-3.3011597462667006,0.7664819245673231,Center Back
Toño,1,-2.4274698952117175,-1.5241997651544181,Center Back
Álex Alegría,4,-2.1326125994520013,-4.76661397784714,Poacher
Adalberto Peñaranda,1,-2.071750807459467,-2.780966534233402,Center Back
Adrián González,3,-0.7508805992019377,1.2169763210929485,Ball-Playing Defender
Borja Bastón,4,-0.3203719967608024,-4.9667617898261325,Poacher
Brown Ideye,4,-1.9980008595282697,-5.004328683181388,Poacher
Chory Castro,5,2.0646950547902385,0.570787962778783,Wide Midfielder
Diego González,1,-3.068532053668917,-2.2583021477841663,Center Back
Diego Rolán,5,1.2678526434502917,-1.5456613884611783,Wide Midfielder
Federico Ricca,1,-2.5357383798768334,-2.432210700258402,Center Back
Ignasi Miquel,1,-3.3938813513731105,-1.0527249515407981,Center Back
Juankar,1,-3.4492142405099253,-1.8488179221581518,Center Back
Juanpi,4,-1.2923513803537647,-2.80068807124614,Poacher
Keko,1,-0.7820759094105378,-1.6827244778431807,Center Back
Luis Hernández,3,-3.9960835928342977,3.2351556802257653,Ball-Playing Defender
Manuel Iturra,1,-3.4708993398556722,0.6887862279907484,Center Back
Maxime Lestienne,4,-1.5490169214502856,-3.726951822116202,Poacher
Mehdi Lacen,1,-4.21291516701632,-0.5464918057506599,Center Back
Miguel Torres,1,-4.350354644394517,-1.7480690522937492,Center Back
Paul Baysse,1,-3.5972048799720975,-1.8584164251450355,Center Back
Recio,3,-0.727479539712932,2.5362030345793367,Ball-Playing Defender
Roberto Rosales,0,0.12896638119160547,5.329938596303117,Central Midfielder
Youssef En-Nesyri,4,1.7288658379515314,-4.725668618549999,Poacher
Álex Mula,4,-1.969205608611722,-4.264678966557093,Poacher
Achraf Hakimi,4,-1.0320552705453367,-2.4961707940205318,Poacher
Casemiro,0,0.772247462828708,6.228934834868925,Central Midfielder
Cristiano Ronaldo,2,17.677297123898196,-4.216961522767704,Complete Forward
Dani Carvajal,0,0.308887310594802,5.19986595288769,Central Midfielder
Gareth Bale,6,9.20872137548252,-1.7761621686342814,Attacking Midfielder
Isco,2,7.704113776773801,3.7772811816181564,Complete Forward
Karim Benzema,6,7.054206240624187,0.0755064195668249,Attacking Midfielder
Lucas Vázquez,6,5.714291122577228,1.8975852296213918,Attacking Midfielder
Luka Modrić,0,2.111852993204672,5.433165233697595,Central Midfielder
Marcelo,0,4.709911286578494,6.387173099962531,Central Midfielder
Marco Asensio,6,6.573935025720157,2.4614914324457082,Attacking Midfielder
Marcos Llorente,1,-4.213783589249151,-0.36233640282377966,Center Back
Mateo Kovačić,3,-3.228629632158819,1.107799364818566,Ball-Playing Defender
Nacho,3,-2.1108281634570742,2.2056684952032777,Ball-Playing Defender
Raphaël Varane,3,-3.5802877800223434,1.584873015420052,Ball-Playing Defender
Sergio Ramos,0,0.12757338688162081,3.4008716835003896,Central Midfielder
Theo Hernández,1,-1.9563006676844636,-0.3372733325798746,Center Back
Toni Kroos,0,4.648314848807609,6.135293595681854,Central Midfielder
Adnan Januzaj,6,5.379919190294451,-0.06678453494249743,Attacking Midfielder
Alberto de la Bella,1,-2.369554058845322,0.4846967679980446,Center Back
Aritz Elustondo,1,-1.670485236910247,-0.04177945818597364,Center Back
Asier Illarramendi,0,2.1909600242230645,8.570378290068685,Central Midfielder
David Zurutuza,3,-2.0203202167572964,3.0189530967798834,Ball-Playing Defender
Diego Llorente,3,-2.450888512638834,1.826868986466672,Ball-Playing Defender
Héctor Moreno,1,-2.668625722702999,-2.1207573988307944,Center Back
Igor Zubeldia,3,-2.834109212619683,0.8997731179528496,Ball-Playing Defender
Iñigo Martínez,1,-2.161762027640898,-0.740909898237937,Center Back
Juanmi,4,1.6084335389424347,-2.799273764836511,Poacher
Kévin Rodrigues,3,-1.5371435119225216,0.5602585921657848,Ball-Playing Defender
Mikel Oyarzabal,6,7.398346890678332,0.14965133975241632,Attacking Midfielder
Raúl Navas,1,-3.5260523412292004,0.4104142021207943,Center Back
Sergio Canales,0,4.917840124366995,2.362586329276613,Central Midfielder
Willian José,6,7.526922969244059,-2.5194531567820615,Attacking Midfielder
Xabi Prieto,5,2.3497666022999133,0.9985600780207662,Wide Midfielder
Álvaro Odriozola,0,1.672125823875423,4.014813274492662,Central Midfielder
Clément Lenglet,3,-1.9240314694343432,2.23867140280073,Ball-Playing Defender
Franco Vázquez,6,4.649932589339932,1.0577318542102756,Attacking Midfielder
Gabriel Mercado,3,-2.2530476173047673,1.5418814728774477,Ball-Playing Defender
Ganso,4,-1.3590386889906558,-2.949554612275054,Poacher
Guido Pizarro,3,-2.567832034801146,2.4104828783065804,Ball-Playing Defender
Jesús Navas,5,0.8251810559412978,1.0919167161842205,Wide Midfielder
Joaquín Correa,5,-0.15304681611460105,-0.36169600820551917,Wide Midfielder
Johannes Geis,1,-3.3336409448062407,-1.299336810475812,Center Back
Lionel Carole,1,-3.5292464561983126,-2.5164550396409284,Center Back
Luis Muriel,6,3.91806776108209,-3.299229969119068,Attacking Midfielder
Michael Krohn-Dehli,1,-2.0147228181320957,-2.1572357821079517,Center Back
Miguel Layún,1,-1.2815049695777667,-1.6195738446198693,Center Back
Nolito,6,4.275212309218615,-0.47618318392371783,Attacking Midfielder
Pablo Sarabia,6,6.808838668030034,2.3472222681730504,Attacking Midfielder
Sandro Ramírez,4,0.08946822976688681,-3.7196047473797016,Poacher
Sergio Escudero,3,-1.2769286138386673,4.142131446038822,Ball-Playing Defender
Simon Kjær,1,-3.4060859758096984,-0.7416235583491071,Center Back
Steven Nzonzi,3,-1.7317367742271088,2.7576578027912206,Ball-Playing Defender
Sébastien Corchia,1,-2.1999027131839877,-1.9725022926519897,Center Back
Wissam Ben Yedder,6,5.079161740005614,-3.547195581672803,Attacking Midfielder
Éver Banega,0,4.3703661267413025,7.803672096150113,Central Midfielder
Andreas Pereira,5,0.8611288553417136,-1.5778228459744414,Wide Midfielder
Carlos Soler,5,2.3347235936083788,2.2408697391617736,Wide Midfielder
Daniel Parejo,0,7.060968954900542,8.998631713259975,Central Midfielder
Ezequiel Garay,1,-3.8218331418127205,0.3157824552540352,Center Back
Francis Coquelin,1,-2.835690976972082,-1.6745629901791008,Center Back
Gabriel Paulista,3,-3.6893391032341567,1.8254612998222186,Ball-Playing Defender
Geoffrey Kondogbia,0,0.41684434778224544,6.41502841484192,Central Midfielder
Gonçalo Guedes,2,7.763927953212069,3.4338381882829903,Complete Forward
Jeison Murillo,1,-4.329553593207909,0.5388834375440907,Center Back
José Luis Gayà,0,0.30684443136569645,5.881877587311541,Central Midfielder
Luciano Vietto,4,-0.5592857569215707,-3.4434728028824697,Poacher
Martín Montoya,3,-1.0403643373870297,2.7988959403410165,Ball-Playing Defender
Nemanja Maksimović,1,-3.2827995242457706,-1.8246135306509206,Center Back
Rodrigo,2,9.157968804677438,-0.8733467126687383,Complete Forward
Rúben Vezo,1,-3.5441379330622054,-0.5998480625399519,Center Back
Santi Mina,6,4.501851687732291,-3.8346052697303774,Attacking Midfielder
Simone Zaza,6,5.087145673562553,-3.1743077606019185,Attacking Midfielder
Toni Lato,1,-3.1036204616588354,-1.4248146717803203,Center Back
Antonio Rukavina,1,-3.5941872410391666,-0.7296184359580874,Center Back
Carlos Bacca,6,8.26471237127547,-3.118873148655168,Attacking Midfielder
Cédric Bakambu,4,3.359827384459448,-4.0479296391424,Poacher
Dani Raba,5,1.5646211371397691,-0.4504501131862117,Wide Midfielder
Daniele Bonera,1,-3.941862114910058,-0.09618713904226946,Center Back
Denis Cheryshev,4,2.5093105542326337,-2.8614005537866407,Poacher
Enes Ünal,4,2.5218935539818177,-4.573767132022503,Poacher
Jaume Costa,3,-1.0959626756349148,4.625931542608367,Ball-Playing Defender
Javi Fuego,1,-4.450686880216828,-2.143579251932001,Center Back
Manu Trigueros,0,1.6115252629070853,5.387968221910783,Central Midfielder
Mario Gaspar,0,0.20522592987865373,3.9694826459835877,Central Midfielder
Nicola Sansone,4,1.9475323568943843,-4.32776052412446,Poacher
Pablo Fornals,0,5.431363287493665,4.1798826995027945,Central Midfielder
Roberto Soriano,1,-1.6749674603605273,-1.1743202115075047,Center Back
Rodri,0,-0.9854851469185342,7.02763287644143,Central Midfielder
Samu Castillejo,6,5.476142018486214,2.1827910827451986,Attacking Midfielder
Víctor Ruiz,3,-2.9898499204740134,1.8173076996403075,Ball-Playing Defender
Álvaro González,3,-3.0732378571857035,2.6795448599351515,Ball-Playing Defender
Borja Bastón,4,1.0999726582215432,-4.79499992724663,Poacher
Burgui,1,-2.3170725816682833,-3.1453042416702135,Center Back
Carlos Vigaray,1,-4.00377364832344,-3.0793854112683916,Center Back
Darko Brašanac,1,-2.959861955908083,-0.027251405828582466,Center Back
Guillermo Maripán,1,-2.1132282157415316,-0.33214734762819953,Center Back
Ibai Gómez,4,1.0999437019053449,-2.762433410618098,Poacher
John Guidetti,4,-0.2694758563217025,-5.228614974832495,Poacher
Jonathan Calleri,6,5.868972783376019,-2.0959743851643418,Attacking Midfielder
Jony,2,9.406734416787765,2.4909423802240904,Complete Forward
Manu García,3,-1.3030638808526223,1.6781724403531728,Ball-Playing Defender
Martin Agirregabiria,1,-2.8145960377409955,0.30837100306086457,Center Back
Rubén Duarte,3,-1.2567831098862976,2.4488614438335667,Ball-Playing Defender
Rubén Sobrino,4,0.23331599961469407,-4.171003067541097,Poacher
Takashi Inui,4,-0.9763543454599938,-3.7510745796753855,Poacher
Tomás Pina Isla,3,-2.0954485426435054,3.84992725778462,Ball-Playing Defender
Víctor Laguardia,3,-2.2276822520912676,1.7630227548653574,Ball-Playing Defender
Wakaso,3,-1.627703719260745,0.5375568431029667,Ball-Playing Defender
Ximo Navarro,3,-1.7630718360662236,1.7424492020887472,Ball-Playing Defender
Ander Capa,3,-1.8779546752249345,1.0785336805026269,Ball-Playing Defender
Aritz Aduriz,4,0.2545058317738274,-5.728718000014425,Poacher
Beñat Etxebarria,3,-1.229953920444814,2.8099646344438263,Ball-Playing Defender
Dani García,3,-3.739584504130131,3.4950717612175097,Ball-Playing Defender
Ibai Gómez,4,-1.0060714199655947,-2.7564220234974512,Poacher
Iker Muniain,0,3.111372268599877,2.5529444116960964,Central Midfielder
Iñaki Williams,6,7.463548613720036,-2.341822513174765,Attacking Midfielder
Iñigo Córdoba,5,0.3105801810169256,-1.2880887285756888,Wide Midfielder
Iñigo Martínez,3,-2.564360405197094,3.562597451101311,Ball-Playing Defender
Markel Susaeta,5,-0.023278414268836492,-0.7759342672924987,Wide Midfielder
Mikel Balenziaga,1,-3.595253316121489,-3.160661473772178,Center Back
Mikel San José,1,-2.4690243277632486,0.30945093532782214,Center Back
Raúl García,6,6.844496848502729,-0.6661179219546091,Attacking Midfielder
Unai Núñez,1,-3.9124438776691437,-0.7428889759130305,Center Back
Yeray Álvarez,3,-3.4639160327103493,2.426762704543414,Ball-Playing Defender
Yuri Berchiche,0,0.368971066805776,4.395162662880843,Central Midfielder
Óscar de Marcos,3,-0.7224619826280323,2.4321462605197475,Ball-Playing Defender
Antoine Griezmann,2,11.923317830137885,1.2930508442573256,Complete Forward
Diego Costa,4,-0.06856222869590942,-3.543359425171758,Poacher
Diego Godín,3,-1.7894783311665148,0.7897994983680675,Ball-Playing Defender
Filipe Luís,3,-0.7311449369908818,2.6346436322318025,Ball-Playing Defender
José María Giménez,1,-3.549269361247434,0.045154359434620504,Center Back
Koke,0,1.5581332544485136,5.489631672454131,Central Midfielder
Lucas Hernández,1,-2.7866381581339033,-0.6202300679102575,Center Back
Nikola Kalinić,4,-0.14785184975240626,-5.861856156522887,Poacher
Rodri,0,-1.2684651319077769,5.986685963931931,Central Midfielder
Santiago Arias,3,-1.6587278811892436,1.3892952429168237,Ball-Playing Defender
Saúl Ñíguez,0,1.1720403315507995,3.3918147167393067,Central Midfielder
Stefan Savić,1,-3.5668481119261024,-0.04925381529616914,Center Back
Thomas Lemar,5,1.7760033081507987,1.2682660220465463,Wide Midfielder
Thomas Partey,3,-0.22079572333365916,3.8342883564552634,Ball-Playing Defender
Vitolo,1,-1.7730091643859316,-1.2308084957228433,Center Back
Álvaro Morata,4,3.113719596299191,-5.933780001131722,Poacher
Ángel Correa,5,2.1282624037480202,0.7968393302064942,Wide Midfielder
Arthur Melo,3,-2.6269223588558077,1.760898143877075,Ball-Playing Defender
Arturo Vidal,0,1.36553546270331,3.6278251508490515,Central Midfielder
Carles Aleñá,1,-1.8651274389923176,-1.0349688831473716,Center Back
Clément Lenglet,3,-3.551088194215841,1.4048333950739293,Ball-Playing Defender
Gerard Piqué,3,-0.837320594730122,3.712913142487023,Ball-Playing Defender
Ivan Rakitić,0,1.0744081424692884,7.071276813540539,Central Midfielder
Jordi Alba,0,2.6383818885193784,6.358375055921855,Central Midfielder
Lionel Messi,2,27.156007531625885,3.7218765554335285,Complete Forward
Luis Suárez,2,14.284924233825272,-1.5411143249634622,Complete Forward
Malcom,4,-0.19031033021231675,-3.0010831606552526,Poacher
Nélson Semedo,3,-2.756407551847243,1.5423302885886303,Ball-Playing Defender
Ousmane Dembélé,6,6.423361728988045,0.18719152693933833,Attacking Midfielder
Philippe Coutinho,6,5.0861491023779735,1.223656390462394,Attacking Midfielder
Samuel Umtiti,1,-4.15508360146828,0.9199460367115584,Center Back
Sergi Roberto,3,-0.33817599456504327,3.752373465813902,Ball-Playing Defender
Sergio Busquets,3,-2.7479855268560516,7.293654474465497,Ball-Playing Defender
Thomas Vermaelen,1,-4.928612647902316,-0.8741736626211019,Center Back
Andrés Guardado,3,-0.31761156833254717,3.757370293816577,Ball-Playing Defender
Antonio Barragán,1,-3.6276745150055105,-1.0035920026094234,Center Back
Antonio Sanabria,4,-1.6013687224181807,-3.9180339494696454,Poacher
Aïssa Mandi,3,-2.530277448366024,4.763217126483956,Ball-Playing Defender
