player,archetype,PC1,PC2,Performance_Gls_norm,Performance_TklW_norm,Total_Cmp%_norm,Progression_PrgC_norm,Creativity_Score_norm,archetype_name
Mateo Kovačić,3,-1.9265997944505853,2.309319989599091,-0.4393622382990823,0.5463157734875471,1.9460738002257536,0.1563480228107967,-0.0250924048733677,Ball-Playing Defender
Matheus Nunes,1,-1.1290123514934822,-1.6794701314518041,-0.7072367930041181,-1.2171103431189536,0.7247975814392771,-0.1591532633706391,0.235051691482524,Center Back
Nathan Aké,3,-1.5742671799394907,1.7083706483502261,-0.1714876835940464,-0.2094382764866675,1.7092957578079666,-0.299376057229055,0.1825316698229788,Ball-Playing Defender
Phil Foden,2,13.441242766538148,3.0535065374519506,4.382379746391563,0.1264524123907612,0.8868036104619726,2.11946713682862,11.749900866499054,Complete Forward
Rico Lewis,1,-1.5584876601396098,-1.3130638436481579,-0.1714876835940464,-0.9651923264608822,1.597137737715332,-0.4045431526228669,0.1331317951696892,Center Back
Rodri,0,6.115706109953915,10.655554265146773,1.4357596446361682,2.0578238734359764,1.6968337555754522,1.523520262930352,2.048747521427855,Central Midfielder
Rúben Dias,3,-2.717971505294162,3.885647914068052,-0.7072367930041181,0.1264524123907612,1.9086877935282087,0.0511809274169848,0.581233473594054,Ball-Playing Defender
Aaron Wan-Bissaka,3,-2.9051289235818105,1.7098677506446514,-0.7072367930041181,0.5463157734875471,0.6375635658116713,-0.0890418664414311,0.0767520633573582,Ball-Playing Defender
Alejandro Garnacho,2,8.347482795252008,1.208590551999113,1.1678850899311326,-0.2934109487060247,-0.434168626184624,5.099201506319958,2.94477794560053,Complete Forward
Antony,5,1.4060608384125726,-0.30750053453069043,-0.4393622382990823,0.2104250846101184,0.0393874586509482,0.7172391982444605,0.1147935726706578,Wide Midfielder
Bruno Fernandes,2,14.349149802616452,8.97192026186271,1.97150875404624,1.6379605123391905,-0.670946668602411,1.874077247576392,31.25034317088361,Complete Forward
Casemiro,3,-1.0054078849145727,2.809785419576418,-0.4393622382990823,3.14946861228762,0.4257095278589147,-0.7200444388043028,0.0640065571902947,Ball-Playing Defender
Christian Eriksen,1,-1.1104161449390881,-0.7350321619204196,-0.4393622382990823,-0.461356293144739,0.2637034988362192,-0.4395988510874709,0.1225939401862972,Center Back
Diogo Dalot,0,0.17448036891177757,5.3469051160796175,-0.1714876835940464,2.7296052511908337,0.350937514463825,0.6821834997798565,0.6326459902431241,Central Midfielder
Harry Maguire,3,-1.8345950421147876,0.559537553215287,-0.1714876835940464,-0.1254656042673103,0.5877155568816103,-0.4395988510874709,0.2713013239184103,Ball-Playing Defender
Jonny Evans,1,-4.125959097121207,0.14510781118819274,-0.7072367930041181,-0.3773836209253818,1.1485056573447885,-0.8953229311273228,0.2713013239184103,Center Back
Kobbie Mainoo,3,-1.7958344761051375,0.6354415191187363,0.0963868711109893,0.7142611179262615,0.9740376260895784,-0.264320358764451,0.1245808262516016,Ball-Playing Defender
Luke Shaw,1,-3.5778320231705107,-0.7487827018251033,-0.7072367930041181,-0.8812196542415249,0.4381715300914308,-0.7901558357335108,0.1503091610879733,Center Back
Marcus Rashford,6,4.941376100499194,-1.4589009797815384,1.1678850899311326,-0.5453289653640963,-0.3843206172545648,2.189578533757828,0.0667109298902923,Attacking Midfielder
Mason Mount,1,-3.21466685010146,-2.4874405943377127,-0.4393622382990823,-0.3773836209253818,0.4132475256264004,-0.8252115341981148,0.6330139321070694,Center Back
Raphaël Varane,1,-3.5681516815782737,-0.2898662228584232,-0.4393622382990823,-0.6293016375834534,1.3105116863674855,-0.5798216449458868,1.005172409813134,Center Back
Rasmus Højlund,6,3.331987261090636,-2.926782107798054,1.97150875404624,-0.9651923264608822,-0.3469346105570199,0.0862366258815887,-0.0883876040185497,Attacking Midfielder
Scott McTominay,5,1.4331892259872934,-0.7578100026846147,1.1678850899311326,0.5463157734875471,0.2761655010687335,-0.1240975649060351,0.2553492044070639,Wide Midfielder
Sofyan Amrabat,1,-4.305477679191261,0.3752980725589106,-0.7072367930041181,-0.2094382764866675,1.0737336439496987,-0.9303786295919266,0.6330139321070694,Center Back
Victor Lindelöf,1,-2.8744609654047237,-0.5874432984033048,-0.4393622382990823,-0.7132743098028106,1.3354356908325145,-0.5447659464812828,0.5294530150810386,Center Back
Alexander Isak,6,11.029288048537731,-4.1579602298065,4.918128855801634,-1.5530010319963825,-0.0353845547441432,1.2430746752135202,0.5264726859830822,Attacking Midfielder
Anthony Gordon,2,10.990484672309105,3.7811397733947048,2.239383308751276,1.3020698234617618,-0.2846245993944446,3.696973567735799,7.807808530376015,Complete Forward
Bruno Guimarães,0,6.455422214863885,9.467307540890994,1.1678850899311326,2.897550595629548,0.6874115747417322,1.1379075798197082,6.512007431317505,Central Midfielder
Callum Wilson,6,5.109766988136889,-6.76755807019303,1.703634199341204,-1.3010830153383108,-1.7426788605987062,-0.7551001372689068,0.4286075090109238,Attacking Midfielder
